zona_id,I03,nombre_cne,tipo_cne
50-001,50,El Condado,URBANA
50-002,50,El Condado,URBANA
50-003,50,El Condado,URBANA
50-004,50,El Condado,URBANA
50-005,50,El Condado,URBANA
50-006,50,El Condado,URBANA
50-007,50,El Condado,URBANA
50-008,50,El Condado,URBANA
50-009,50,El Condado,URBANA
50-010,50,El Condado,URBANA
50-011,50,El Condado,URBANA
50-012,50,El Condado,URBANA
50-013,50,El Condado,URBANA
50-014,50,El Condado,URBANA
50-015,50,El Condado,URBANA
50-016,50,El Condado,URBANA
50-017,50,El Condado,URBANA
50-018,50,El Condado,URBANA
50-019,50,El Condado,URBANA
50-020,50,El Condado,URBANA
50-021,50,El Condado,URBANA
50-022,50,El Condado,URBANA
50-023,50,El Condado,URBANA
50-024,50,Carcelen,URBANA
50-025,50,Carcelen,URBANA
50-026,50,Carcelen,URBANA
50-027,50,Carcelen,URBANA
50-028,50,Carcelen,URBANA
50-029,50,Carcelen,URBANA
50-030,50,Carcelen,URBANA
50-031,50,Carcelen,URBANA
50-032,50,Carcelen,URBANA
50-033,50,Carcelen,URBANA
50-034,50,Carcelen,URBANA
50-035,50,Carcelen,URBANA
50-036,50,Carcelen,URBANA
50-037,50,Carcelen,URBANA
50-038,50,Carcelen,URBANA
50-039,50,Carcelen,URBANA
50-040,50,Carcelen,URBANA
50-041,50,Comite Del Pueblo,URBANA
50-042,50,Comite Del Pueblo,URBANA
50-043,50,Ponceano,URBANA
50-044,50,Ponceano,URBANA
50-045,50,Ponceano,URBANA
50-046,50,Ponceano,URBANA
50-047,50,Ponceano,URBANA
50-048,50,Ponceano,URBANA
50-049,50,Cotocollao,URBANA
50-050,50,El Condado,URBANA
50-051,50,El Condado,URBANA
50-052,50,El Condado,URBANA
50-053,50,El Condado,URBANA
50-054,50,El Condado,URBANA
50-055,50,El Condado,URBANA
50-056,50,Cochapamba,URBANA
50-057,50,Cochapamba,URBANA
50-058,50,Cochapamba,URBANA
50-059,50,Cochapamba,URBANA
50-060,50,Cochapamba,URBANA
50-061,50,Cochapamba,URBANA
50-062,50,Cochapamba,URBANA
50-063,50,Cotocollao,URBANA
50-064,50,Cotocollao,URBANA
